INFO 2020-01-17 02:41:23 +0100 || help || olok || h!help
INFO 2020-01-17 02:41:23 +0100 || help || olok || h!help
INFO 2020-01-17 02:41:24 +0100 || help || olok || h!help
INFO 2020-01-17 02:41:24 +0100 || help || olok || h!help
INFO 2020-01-17 02:41:30 +0100 || help || olok || h!help
INFO 2020-01-17 02:41:31 +0100 || help || olok || h!help
INFO 2020-01-17 02:41:31 +0100 || help || olok || h!help
INFO 2020-01-17 02:41:31 +0100 || help || olok || h!help
INFO 2020-01-17 02:41:32 +0100 || help || olok || h!help
INFO 2020-01-17 02:41:32 +0100 || help || olok || h!help
INFO 2020-01-17 02:41:33 +0100 || help || olok || h!help
INFO 2020-01-17 02:41:33 +0100 || help || olok || h!help
INFO 2020-01-17 02:41:33 +0100 || help || olok || h!help
INFO 2020-01-17 02:41:34 +0100 || help || olok || h!help
INFO 2020-01-17 02:41:41 +0100 || help || olok || h!help
INFO 2020-01-17 02:41:41 +0100 || help || olok || h!help
INFO 2020-01-17 02:41:41 +0100 || IFJ_help || olok || h!IFJ_help
INFO 2020-01-17 02:42:47 +0100 || rozsazeni || olok || h!rozsazeni
INFO 2020-01-17 02:42:50 +0100 || rozsazeni-attempt || olok || h!rozsazeni
INFO 2020-01-17 02:42:50 +0100 || rozsazeni-attempt || olok || h!rozsazeni
INFO 2020-01-17 02:42:57 +0100 || GNF || olok || h!GNF - Greibachové normální forma
INFO 2020-01-17 04:09:25 +0100 || PGP || Holo's Papa || h!PGP
INFO 2020-01-17 04:10:51 +0100 || gde body || RockStar1337 || Na to ze to picuje do lidi kdyz napisou gde body
INFO 2020-01-17 04:55:52 +0100 || ISA_help || Holo's Papa || h!ISA_help
INFO 2020-01-17 04:55:56 +0100 || H.323 || Holo's Papa || h!H323
INFO 2020-01-17 05:33:19 +0100 || set_quote || Holo's Papa || h!set_quote ISA je ez
INFO 2020-01-17 06:01:53 +0100 || H.323 || Lonchi || h!H323
INFO 2020-01-17 06:02:13 +0100 || protokol || Holo's Papa || h!protokol
INFO 2020-01-17 06:02:37 +0100 || ISA_help || Holo's Papa || h!ISA_help
INFO 2020-01-17 06:02:43 +0100 || RTSP || RockStar1337 || h!RTSP
INFO 2020-01-17 06:02:49 +0100 || bezpecnost_voip || Holo's Papa || h!bezpecnost_voip
INFO 2020-01-17 06:19:19 +0100 || LDAP || Holo's Papa || h!LDAP
